Name,Position X,Position Y,Position Z
Point01,-4.552044,150.587465,5.708121
Point02,-21.815031,-150.735717,3.41769
Point03,27.765205,-146.989356,8.090947
Point04,2.973661,-150.769446,5.552917
Point05,-12.300919,138.96841,5.287704
Point06,-16.253149,124.957153,6.090871
Point07,-19.491163,110.8012,7.069292
Point08,-21.714003,96.331612,8.533195
Point09,-23.384639,81.796989,8.338142
Point10,-25.076777,67.140516,8.474791
Point11,-25.966615,52.380874,8.309571
Point12,-27.506376,38.029062,7.135213
Point13,-28.446492,23.344853,6.708186
Point14,-28.379833,8.635939,6.757141
Point15,-28.675814,-6.100404,6.070131
Point16,-28.568504,-20.625664,5.287934
Point17,-27.936882,-35.372436,5.226715
Point18,-28.514031,-50.032494,4.504032
Point19,-28.482393,-64.639928,3.398376
Point20,-28.954713,-79.096525,3.964847
Point21,-29.160748,-93.734044,3.24466
Point22,-29.718061,-108.311101,2.444946
Point23,-28.719861,-122.929965,2.279728
Point24,-27.061095,-137.479912,2.15077
Point25,-17.730792,-151.03043,3.749785
Point26,-13.521125,-151.019594,3.96304
Point27,-9.350664,-151.079802,4.332317
Point28,-5.26601,-150.651709,4.764763
Point29,-1.16113,-150.335473,5.227305
Point30,7.325543,-150.782083,5.97137
Point31,11.6582,-150.780076,6.367448
Point32,15.946714,-150.785561,6.910271
Point33,20.199335,-150.461282,7.740174
Point34,24.328926,-149.566071,8.147972
Point35,30.853279,-132.721887,8.722045
Point36,31.298604,-118.36264,7.747903
Point37,32.120375,-103.663877,7.630451
Point38,32.368684,-89.061798,6.759107
Point39,32.826382,-74.396278,6.6502
Point40,32.755006,-60.051184,6.535058
Point41,31.029575,-45.560084,6.353603
Point42,31.679339,-31.149088,7.026074
Point43,29.912927,-16.711197,7.445089
Point44,29.76555,-2.333147,7.277285
Point45,29.081009,12.286833,8.352791
Point46,27.507449,26.742491,8.71239
Point47,26.464915,41.238444,9.419956
Point48,23.424056,55.472115,9.564828
Point49,21.593971,70.069966,9.470099
Point50,18.389106,84.034218,8.165957
Point51,15.578463,98.218853,7.287877
Point52,13.521547,112.359974,6.050643
Point53,9.75861,126.434619,5.311196
Point54,4.778371,140.245159,4.900883
