Name,Position X,Position Y,Position Z
Point01,0.153403,35.373033,-2.106174
Point02,9.603912,-34.6547,-1.240308
Point03,-8.287262,-34.585361,-2.26812
Point04,0.658164,-35.637185,-1.698268
Point05,1.798038,32.444758,-2.313494
Point06,3.071851,29.26915,-2.441157
Point07,3.886161,25.977441,-2.423902
Point08,4.596365,22.643955,-2.611243
Point09,5.165063,19.291841,-2.369175
Point10,5.690812,15.961525,-2.242568
Point11,5.89499,12.516151,-2.24091
Point12,6.445141,9.125587,-2.041228
Point13,6.329934,5.767746,-2.018923
Point14,6.61791,2.326382,-2.040287
Point15,7.018316,-1.097787,-2.148377
Point16,7.379974,-4.399341,-2.102033
Point17,7.593888,-7.837004,-1.993792
Point18,8.144178,-11.217793,-1.912989
Point19,7.806838,-14.612811,-1.849419
Point20,8.578239,-17.944783,-1.928879
Point21,8.890886,-21.339724,-1.787374
Point22,8.823063,-24.768248,-1.773545
Point23,8.538265,-28.196126,-1.963958
Point24,9.14122,-31.546756,-1.904017
Point25,8.470659,-35.50409,-1.607596
Point26,6.949021,-35.510997,-1.976188
Point27,5.379484,-35.510421,-1.902944
Point28,3.809047,-35.498766,-1.750707
Point29,2.233957,-35.571725,-1.679616
Point30,-0.889443,-35.529084,-1.807762
Point31,-2.441355,-35.417686,-1.91247
Point32,-3.996096,-35.497514,-1.958016
Point33,-5.552101,-35.524189,-1.860889
Point34,-7.042404,-35.46268,-2.019433
Point35,-8.68503,-31.246431,-1.550333
Point36,-8.414766,-27.809184,-1.538769
Point37,-7.428838,-24.525078,-1.461601
Point38,-7.91065,-21.078634,-1.714768
Point39,-7.899055,-17.616846,-2.221496
Point40,-7.635543,-14.132918,-2.227157
Point41,-7.300522,-10.651258,-2.194818
Point42,-7.426505,-7.149949,-2.179321
Point43,-7.686808,-3.66474,-2.256673
Point44,-7.562911,-0.168362,-2.216442
Point45,-8.004579,3.274321,-2.216745
Point46,-7.891746,6.738817,-1.876337
Point47,-8.104086,10.21962,-1.829196
Point48,-7.152723,13.551766,-2.02718
Point49,-6.724415,17.025323,-2.032742
Point50,-6.056765,20.425944,-2.068744
Point51,-5.911039,23.871996,-2.264349
Point52,-5.095069,27.168456,-2.216045
Point53,-3.352538,30.035524,-2.413138
Point54,-1.901846,33.220053,-2.457927
