Name,Position X,Position Y,Position Z
Point01,1.286929,54.586559,-1.185446
Point02,14.939272,-53.763467,-0.236322
Point03,-14.377969,-53.830991,-0.428821
Point04,0.281003,-53.11513,0.026935
Point05,5.626425,51.855643,0.150419
Point06,7.941001,46.951149,0.975558
Point07,10.340056,42.092937,1.463414
Point08,12.617392,37.111199,1.74152
Point09,15.007003,32.220867,1.875663
Point10,16.259339,26.865067,2.129348
Point11,17.530435,21.531649,2.365031
Point12,18.758692,16.190468,2.470114
Point13,20.217279,10.898887,2.518196
Point14,20.904498,5.533081,2.431362
Point15,21.354581,0.183351,1.767491
Point16,21.137543,-5.223954,1.462354
Point17,20.452222,-10.684224,1.507055
Point18,20.282077,-16.085009,1.5596
Point19,19.435894,-21.39767,1.065939
Point20,18.363381,-26.774813,0.756439
Point21,17.540834,-32.150737,0.286791
Point22,16.629545,-37.557169,0.332361
Point23,15.735961,-42.98263,0.564551
Point24,15.637378,-48.438723,0.265059
Point25,12.722893,-54.720786,-0.538543
Point26,10.230791,-54.504147,-0.341464
Point27,7.748072,-54.062879,-0.248135
Point28,5.232459,-53.97204,-0.186135
Point29,2.74345,-53.587035,-0.165591
Point30,-2.103771,-53.684877,0.172449
Point31,-4.582039,-53.914138,0.249009
Point32,-7.076158,-54.053223,0.289667
Point33,-9.534813,-54.395184,0.080877
Point34,-11.999172,-54.441918,-0.326583
Point35,-15.198699,-48.448296,-0.514438
Point36,-15.013863,-42.950839,-0.925267
Point37,-15.44747,-37.559435,-0.874801
Point38,-16.353414,-32.18357,-1.381936
Point39,-17.824835,-26.881715,-1.537936
Point40,-18.773883,-21.472762,-1.685489
Point41,-19.814768,-16.06955,-1.998724
Point42,-20.829637,-10.685935,-2.677475
Point43,-20.940786,-5.220155,-2.233759
Point44,-19.900636,0.182673,-2.689431
Point45,-19.638644,5.670231,-2.657331
Point46,-18.336486,10.995214,-2.59055
Point47,-17.026279,16.26921,-2.312054
Point48,-15.330057,21.469186,-2.65008
Point49,-13.311423,26.549975,-2.622378
Point50,-11.59582,31.762491,-2.299517
Point51,-9.956928,36.938544,-2.211117
Point52,-7.845355,42.006334,-2.203918
Point53,-5.550753,46.982916,-1.895765
Point54,-2.686923,51.667084,-1.433628
