Name,Position X,Position Y,Position Z
Point01,-1.214494,49.720509,0.987537
Point02,13.351154,-48.709816,-0.6966
Point03,-13.164842,-47.69258,-0.600327
Point04,0.093133,-48.352488,-0.247022
Point05,1.77941,46.077356,0.845029
Point06,3.695177,41.563961,0.88764
Point07,4.633133,36.700837,0.851919
Point08,6.783794,32.283688,0.53327
Point09,8.100788,27.542685,0.574544
Point10,9.834231,22.957559,-0.053005
Point11,11.695695,18.47747,-0.708044
Point12,13.6247,14.025918,-1.140675
Point13,14.440619,9.177125,-0.865722
Point14,15.188663,4.37772,-1.285531
Point15,15.240894,-0.521621,-1.223074
Point16,15.523337,-5.323962,-1.376599
Point17,14.757574,-10.097018,-1.091002
Point18,14.23255,-14.789192,-1.283571
Point19,14.599119,-19.679237,-1.324168
Point20,13.123953,-24.263129,-1.148677
Point21,13.651593,-29.161175,-1.155337
Point22,14.0516,-34.071289,-1.328131
Point23,13.989624,-38.948782,-1.22617
Point24,13.892461,-43.854863,-0.949849
Point25,11.467859,-49.87248,-0.853229
Point26,9.29026,-49.251312,-0.638673
Point27,7.048311,-48.727675,-0.39904
Point28,4.737203,-48.496575,-0.286385
Point29,2.416263,-48.378636,-0.237599
Point30,-2.158895,-48.243935,-0.081622
Point31,-4.40711,-48.421804,0.037748
Point32,-6.651615,-48.624846,-0.145553
Point33,-8.874589,-48.425984,-0.371756
Point34,-11.129959,-48.375579,-0.525223
Point35,-13.684979,-42.901549,-0.461973
Point36,-13.582832,-38.045571,-0.430129
Point37,-13.752379,-33.200644,-0.190684
Point38,-13.735159,-28.359786,-0.217682
Point39,-14.154765,-23.546645,-0.008903
Point40,-14.83675,-18.745788,0.082941
Point41,-15.073037,-13.940152,-0.144864
Point42,-15.921685,-9.235045,-0.119382
Point43,-15.959516,-4.39291,-0.109903
Point44,-16.496865,0.439047,-0.272073
Point45,-16.618893,5.300112,-0.142785
Point46,-16.455964,10.120538,0.003591
Point47,-15.304177,14.610951,-0.212172
Point48,-14.210016,19.326232,-0.038636
Point49,-13.409981,24.093169,0.16088
Point50,-12.041649,28.718197,0.057209
Point51,-10.399979,33.161748,0.371363
Point52,-8.219261,37.443313,0.347336
Point53,-6.390316,41.84497,0.620344
Point54,-4.347258,46.185166,0.770653
