Name,Position X,Position Y,Position Z
Point01,-3.685224,52.701915,2.602234
Point02,16.152403,-53.423039,0.24127
Point03,-16.048325,-52.978083,0.140779
Point04,0.052472,-53.311912,0.296179
Point05,0.582502,50.002799,3.12762
Point06,3.736909,45.680625,2.916755
Point07,5.89943,40.845462,2.834299
Point08,7.830645,35.886564,2.988401
Point09,9.761453,30.906023,2.927492
Point10,11.037143,25.731425,2.828297
Point11,12.102287,20.523018,3.000757
Point12,12.811071,15.311427,2.511462
Point13,13.351315,10.003294,2.557307
Point14,13.012699,4.668861,2.4997
Point15,13.104143,-0.702049,2.219049
Point16,12.959412,-6.057195,2.041076
Point17,13.67261,-11.358842,2.05827
Point18,12.913793,-16.586983,1.662823
Point19,12.946628,-21.957516,1.621479
Point20,13.369122,-27.279857,1.540715
Point21,13.655996,-32.613724,1.347006
Point22,13.898727,-37.924634,1.098391
Point23,14.443749,-43.226333,0.635707
Point24,15.501768,-48.483051,0.58687
Point25,13.516809,-53.789788,0.471736
Point26,10.81489,-53.866179,0.479682
Point27,8.181469,-53.344245,0.390225
Point28,5.471043,-53.234379,0.312346
Point29,2.764561,-53.342793,0.35132
Point30,-2.702161,-53.266277,0.30844
Point31,-5.45553,-53.248451,0.339035
Point32,-8.187987,-53.519719,0.358704
Point33,-10.923849,-53.73822,0.540742
Point34,-13.604547,-53.997978,0.754266
Point35,-15.833734,-47.925335,0.729332
Point36,-16.186542,-42.779102,0.435191
Point37,-15.745842,-37.669871,0.551414
Point38,-15.777322,-32.495351,0.504109
Point39,-15.683251,-27.295404,0.019648
Point40,-15.752283,-22.067595,0.182655
Point41,-15.463804,-16.87328,0.153988
Point42,-15.330831,-11.659981,0.381193
Point43,-15.574636,-6.424992,0.313236
Point44,-16.279254,-1.230848,0.333448
Point45,-15.933572,3.94185,0.422784
Point46,-16.192344,9.102484,0.294237
Point47,-15.639845,14.240772,-0.220489
Point48,-15.100888,19.309294,-0.087584
Point49,-14.149257,24.466911,-0.140718
Point50,-12.745993,29.332791,-0.48045
Point51,-11.74783,34.362977,-0.084635
Point52,-10.415655,39.303158,0.491419
Point53,-8.376491,44.090725,0.799393
Point54,-6.650086,49.005104,1.188474
