Name,Position X,Position Y,Position Z
Point01,1.748069,54.70351,-2.542956
Point02,12.11645,-49.367495,-3.697293
Point03,-6.754807,-51.391092,-3.073632
Point04,2.680888,-52.057578,-3.568279
Point05,4.1665,50.323494,-2.029372
Point06,5.762827,45.55891,-1.835752
Point07,6.56305,40.576298,-1.851158
Point08,7.197045,35.536983,-1.772875
Point09,8.1233,30.602869,-1.672554
Point10,8.70658,25.580875,-1.485469
Point11,8.983139,20.58514,-1.481775
Point12,9.339475,15.595804,-1.654135
Point13,9.659709,10.623062,-2.016459
Point14,9.940197,5.658437,-1.919974
Point15,10.194914,0.666906,-2.119832
Point16,10.299503,-4.360767,-2.253833
Point17,10.568981,-9.43547,-2.341042
Point18,10.543997,-14.491529,-2.361497
Point19,10.715694,-19.448433,-2.106718
Point20,10.55408,-24.372995,-2.361599
Point21,10.769445,-29.438504,-2.363775
Point22,10.893885,-34.495487,-2.635647
Point23,11.128357,-39.473947,-3.044843
Point24,11.036042,-44.485164,-3.22316
Point25,11.381619,-51.038908,-3.658534
Point26,9.979633,-52.107384,-3.547612
Point27,8.157901,-52.216683,-3.468405
Point28,6.338001,-52.087356,-3.535248
Point29,4.509702,-52.032098,-3.548734
Point30,0.991063,-52.246287,-3.596724
Point31,-0.705889,-52.256412,-3.464095
Point32,-2.409377,-52.320616,-3.417943
Point33,-4.061973,-52.718264,-3.278176
Point34,-5.723058,-52.643798,-3.259998
Point35,-5.207307,-46.493105,-2.991967
Point36,-4.847548,-41.318973,-3.271929
Point37,-4.49528,-36.151508,-3.350751
Point38,-4.154903,-30.989313,-3.429919
Point39,-4.185026,-25.806239,-3.649298
Point40,-4.518463,-20.63436,-3.591896
Point41,-5.403272,-15.53811,-3.589256
Point42,-5.031631,-10.373126,-3.371821
Point43,-5.027605,-5.154224,-3.440281
Point44,-5.387126,0.024537,-3.567151
Point45,-5.129282,5.13065,-3.71144
Point46,-5.460926,10.287148,-3.958336
Point47,-5.732522,15.332407,-3.995988
Point48,-5.247612,20.394042,-4.281031
Point49,-4.42019,25.50603,-4.380058
Point50,-4.58411,30.651365,-4.475653
Point51,-3.960205,35.732804,-4.529344
Point52,-3.446738,40.74719,-4.125376
Point53,-2.318339,45.738099,-3.939471
Point54,-0.664159,50.581863,-3.761278
