Name,Position X,Position Y,Position Z
Point01,0.87677,74.948679,3.208518
Point02,14.93351,-71.898825,3.115441
Point03,-13.96776,-73.074989,3.495658
Point04,0.484303,-73.970634,3.291956
Point05,4.281686,68.930814,2.8419
Point06,7.208971,62.527165,2.425066
Point07,8.302934,55.495759,2.862063
Point08,10.039376,48.588733,2.778161
Point09,11.129987,41.550595,2.886947
Point10,12.340619,34.513783,2.99879
Point11,12.853121,27.475572,3.157497
Point12,13.609137,20.498788,3.165218
Point13,13.65597,13.432598,3.110054
Point14,13.072163,6.290681,3.1038
Point15,13.385722,-0.856051,3.319104
Point16,13.855074,-7.987343,3.211845
Point17,13.756507,-15.154996,2.979346
Point18,13.831225,-22.272782,2.855468
Point19,13.359949,-29.185193,2.620247
Point20,13.056504,-36.289063,2.794235
Point21,12.893721,-43.442266,2.734418
Point22,13.299471,-50.607126,2.813548
Point23,13.82156,-57.737037,2.948755
Point24,14.006652,-64.860696,2.930578
Point25,13.468379,-73.702229,3.6375
Point26,10.852651,-73.602955,3.521711
Point27,8.244868,-73.652781,3.410225
Point28,5.655335,-73.660496,3.01394
Point29,3.086293,-74.043785,3.163741
Point30,-1.929992,-74.104508,3.456352
Point31,-4.373534,-74.165169,3.382466
Point32,-6.78213,-73.781934,3.452791
Point33,-9.175737,-73.287037,3.652048
Point34,-11.619035,-73.178437,3.662172
Point35,-12.293416,-66.127718,3.452015
Point36,-12.152806,-58.888975,3.369052
Point37,-12.568943,-51.672593,3.243173
Point38,-12.652392,-44.504224,3.16731
Point39,-12.282608,-37.365726,3.193335
Point40,-12.292121,-30.130183,3.446892
Point41,-12.670834,-22.900816,3.422154
Point42,-12.884456,-15.657846,3.306132
Point43,-12.515692,-8.466053,3.493642
Point44,-12.656252,-1.236517,3.452993
Point45,-12.401747,5.958655,3.442751
Point46,-12.513087,13.188727,3.568516
Point47,-12.205097,20.344378,3.588104
Point48,-11.84823,27.46717,3.415531
Point49,-11.158552,34.475653,3.259401
Point50,-10.632055,41.655676,3.100187
Point51,-9.650731,48.71208,3.010482
Point52,-8.314464,55.744667,2.578502
Point53,-5.844509,62.493251,2.855144
Point54,-2.984414,69.067107,2.808871
