Name,Position X,Position Y,Position Z
Point01,-2.825558,59.744393,2.79317
Point02,11.399167,-55.991082,3.442872
Point03,-16.523789,-56.286301,2.767797
Point04,-2.562448,-58.733373,3.59865
Point05,0.33345,55.468443,4.230918
Point06,1.55893,50.043845,4.641766
Point07,3.221117,44.61855,4.663278
Point08,4.59442,39.200094,4.473325
Point09,5.026276,33.575188,4.462788
Point10,6.253514,28.034676,4.342267
Point11,7.019768,22.485208,4.146098
Point12,7.857979,16.953268,4.133528
Point13,8.200135,11.344742,4.000114
Point14,8.233362,5.674029,3.784682
Point15,8.279664,0.05988,3.884539
Point16,8.476616,-5.586155,4.011958
Point17,8.260931,-11.189522,4.079114
Point18,8.571482,-16.803657,3.980267
Point19,8.698629,-22.454833,3.952618
Point20,8.970238,-28.08081,4.071652
Point21,9.959684,-33.666595,4.032502
Point22,9.381743,-39.221406,3.841923
Point23,9.792168,-44.884003,3.678509
Point24,10.558401,-50.415252,2.992151
Point25,9.303765,-57.06763,3.733551
Point26,6.944035,-57.390795,3.422519
Point27,4.566225,-57.780809,3.371579
Point28,2.180869,-58.103863,3.291352
Point29,-0.196699,-58.410572,3.412132
Point30,-5.314524,-58.876703,3.423759
Point31,-7.990898,-59.391336,2.981969
Point32,-10.7307,-59.680478,2.927846
Point33,-13.47302,-59.741922,3.261785
Point34,-15.791796,-58.863571,3.233173
Point35,-16.292541,-50.797905,3.30174
Point36,-15.518728,-45.177543,3.117245
Point37,-15.868554,-39.524545,3.417654
Point38,-15.426067,-33.87916,3.363983
Point39,-14.669219,-28.23957,3.152021
Point40,-14.93413,-22.545212,2.7801
Point41,-15.065511,-16.828655,2.670968
Point42,-15.131094,-11.143537,2.609162
Point43,-14.836094,-5.625848,2.517707
Point44,-14.335897,0.027396,2.544719
Point45,-13.473782,5.671763,2.721093
Point46,-13.231269,11.334574,2.68572
Point47,-12.736588,17.013927,2.377738
Point48,-12.530431,22.702906,2.334914
Point49,-12.008297,28.373851,2.393516
Point50,-11.859374,34.035589,2.45146
Point51,-11.682208,39.699984,2.403432
Point52,-10.642637,45.279506,2.658273
Point53,-8.604407,50.570292,2.830942
Point54,-6.376345,55.713103,2.696986
