Name,Position X,Position Y,Position Z
Point01,-1.64524,51.630649,2.538351
Point02,11.029286,-48.306849,4.67623
Point03,-10.956051,-47.762774,3.322093
Point04,0.038132,-49.59539,3.631265
Point05,1.866089,49.231339,4.162764
Point06,3.631899,44.696868,4.857301
Point07,4.831554,39.91329,4.716357
Point08,6.108513,35.136012,4.420029
Point09,6.627934,30.204893,4.546842
Point10,6.851094,25.323166,4.92308
Point11,7.175289,20.390769,5.011158
Point12,7.315352,15.518024,5.401965
Point13,7.518115,10.607645,5.140129
Point14,7.565611,5.701997,4.948611
Point15,8.211234,0.847598,4.971518
Point16,8.370419,-4.086116,5.054852
Point17,9.212204,-8.976887,5.181575
Point18,9.22834,-13.868645,5.178762
Point19,9.809727,-18.765147,4.681728
Point20,10.001466,-23.682846,4.362428
Point21,10.540737,-28.617025,4.38048
Point22,10.665919,-33.578825,4.551291
Point23,10.942882,-38.491219,4.587597
Point24,10.756974,-43.403543,4.335737
Point25,9.63421,-49.48524,4.382906
Point26,7.724282,-49.602444,4.19791
Point27,5.809128,-49.681209,3.975094
Point28,3.88437,-49.729989,3.870841
Point29,1.963324,-49.746346,3.700595
Point30,-1.890341,-49.207816,3.478579
Point31,-3.856338,-49.404535,3.594553
Point32,-5.737504,-49.740034,4.064441
Point33,-7.702016,-49.563103,3.972043
Point34,-9.594067,-49.175878,3.606255
Point35,-11.75296,-43.09336,2.637479
Point36,-12.029413,-38.20101,2.549691
Point37,-12.540879,-33.326354,2.491983
Point38,-12.415077,-28.482811,2.970386
Point39,-11.565156,-23.672376,3.026189
Point40,-11.919071,-18.804025,2.852342
Point41,-11.541005,-13.952684,2.729195
Point42,-11.434782,-9.082462,2.528122
Point43,-11.371557,-4.213023,2.404383
Point44,-10.827109,0.618056,2.4436
Point45,-10.174105,5.459719,2.590113
Point46,-10.424125,10.260421,1.873855
Point47,-10.36017,15.054718,2.086868
Point48,-10.071367,19.925962,1.928412
Point49,-9.669069,24.78657,1.961964
Point50,-9.384659,29.629225,1.439257
Point51,-8.533135,34.451669,1.420502
Point52,-7.557349,39.159185,1.532421
Point53,-6.517859,43.867964,1.643613
Point54,-4.857518,48.415262,2.10971
