Name,Position X,Position Y,Position Z
Point01,-4.213668,65.643346,-1.853155
Point02,14.957259,-60.624154,0.465084
Point03,-15.421621,-61.84768,-0.449131
Point04,-0.232791,-65.374611,-0.950225
Point05,0.376199,61.856284,-1.120918
Point06,3.740673,56.660172,-0.707674
Point07,6.441249,50.968574,-0.326307
Point08,8.46405,45.056074,0.224753
Point09,10.232333,39.035034,0.450244
Point10,11.827193,32.969873,0.449555
Point11,12.666217,26.781344,1.016325
Point12,13.527685,20.668006,0.77326
Point13,13.857663,14.409549,0.870173
Point14,14.318806,8.130271,0.487261
Point15,14.793228,1.873803,0.209131
Point16,14.884389,-4.391904,0.047969
Point17,15.147787,-10.624395,-0.019583
Point18,15.265412,-16.85137,0.099378
Point19,15.244922,-23.13321,0.159849
Point20,15.16694,-29.393166,0.159112
Point21,14.928746,-35.713662,0.142559
Point22,14.803902,-41.99204,0.262558
Point23,14.70266,-48.16455,0.050302
Point24,14.23502,-54.436795,0.055331
Point25,13.446702,-62.677722,-0.155347
Point26,10.759308,-63.434145,-0.394478
Point27,8.058042,-64.160745,-0.571821
Point28,5.373901,-64.970421,-0.684128
Point29,2.575743,-65.40947,-0.639661
Point30,-2.780592,-65.123813,-0.417852
Point31,-5.462742,-65.194274,-0.183158
Point32,-8.091193,-64.488908,-0.477097
Point33,-10.820013,-64.158399,-0.303458
Point34,-13.499186,-63.509875,-0.135878
Point35,-15.196929,-55.687512,-0.796516
Point36,-15.158755,-49.495987,-0.873293
Point37,-15.548795,-43.320268,-0.852052
Point38,-15.853311,-37.13403,-1.084077
Point39,-15.58314,-30.946316,-1.533097
Point40,-15.758201,-24.791414,-1.497635
Point41,-15.949269,-18.672158,-1.773046
Point42,-15.622203,-12.479047,-2.115609
Point43,-15.758834,-6.248685,-2.38414
Point44,-15.583055,-0.032912,-2.655455
Point45,-15.566199,6.16752,-2.642541
Point46,-15.63779,12.385311,-2.545788
Point47,-15.505142,18.59753,-3.039368
Point48,-14.910807,24.724175,-2.876855
Point49,-14.572332,30.895292,-2.737055
Point50,-14.275277,37.116305,-2.833127
Point51,-13.233167,43.215099,-2.942374
Point52,-12.265596,49.33396,-2.860768
Point53,-11.068826,55.437276,-2.902819
Point54,-7.844119,60.731123,-2.434375
