Name,Position X,Position Y,Position Z
Point01,-1.173286,50.114703,0.241344
Point02,13.668681,-48.097406,-0.190602
Point03,-13.84537,-49.123784,0.018163
Point04,-0.089927,-49.387445,0.427872
Point05,1.698558,46.268711,-0.012327
Point06,4.08725,41.971592,0.21882
Point07,5.856488,37.443494,0.332499
Point08,7.74223,32.994275,0.756942
Point09,9.416922,28.379925,0.975437
Point10,10.370453,23.629397,1.16427
Point11,11.866062,19.066565,1.480519
Point12,13.119237,14.316267,1.723947
Point13,13.853634,9.441852,1.768317
Point14,13.813878,4.58342,1.7584
Point15,13.658564,-0.318821,1.465844
Point16,13.850279,-5.032859,1.720041
Point17,13.508122,-9.904515,2.012678
Point18,12.979002,-14.73671,1.693043
Point19,12.432263,-19.35477,1.152922
Point20,11.806343,-24.173085,1.067382
Point21,12.204587,-28.930201,1.126005
Point22,12.077087,-33.750026,0.802929
Point23,12.397737,-38.578409,0.747653
Point24,13.276165,-43.31721,0.727985
Point25,11.618142,-49.033798,-0.167767
Point26,9.279944,-49.307137,-0.051092
Point27,6.962313,-49.486312,0.057133
Point28,4.608364,-49.383664,0.12889
Point29,2.252509,-49.321766,0.328633
Point30,-2.372343,-49.689133,0.18312
Point31,-4.713491,-49.589741,0.20698
Point32,-7.05305,-49.536379,0.287369
Point33,-9.383205,-49.484167,0.194467
Point34,-11.7025,-49.481753,0.188589
Point35,-13.56533,-44.272256,-0.321622
Point36,-12.545987,-39.455667,-0.483807
Point37,-11.911024,-34.562549,-0.628818
Point38,-11.925976,-29.63058,-1.252463
Point39,-12.14021,-24.710605,-1.002588
Point40,-12.82726,-19.824322,-1.466922
Point41,-13.619496,-14.976172,-1.296972
Point42,-13.932249,-10.107648,-1.790906
Point43,-14.993955,-5.346971,-1.769512
Point44,-14.972363,-0.453409,-1.985786
Point45,-14.495237,4.290797,-2.213245
Point46,-14.367609,9.143317,-1.788634
Point47,-13.573438,14.036256,-1.847716
Point48,-12.64021,18.735926,-1.816198
Point49,-11.688208,23.512796,-1.856119
Point50,-10.582767,28.245411,-1.648545
Point51,-9.088306,32.912787,-1.512861
Point52,-7.60582,37.479568,-1.447503
Point53,-6.5031,42.262779,-1.347619
Point54,-4.457752,46.651836,-0.714219
