Name,Position X,Position Y,Position Z
Point01,-1.491845,62.939414,2.366347
Point02,11.953358,-61.565379,2.501465
Point03,-17.359008,-57.574276,4.014375
Point04,-2.703562,-61.064054,3.344597
Point05,1.93807,58.392306,3.423771
Point06,4.666588,52.951522,3.468747
Point07,5.981962,46.975372,3.382972
Point08,7.679447,41.179289,3.337005
Point09,9.254061,35.230258,3.0334
Point10,10.708036,29.299294,3.145211
Point11,11.252841,23.270105,3.130175
Point12,11.845191,17.22497,2.685431
Point13,12.482715,11.104941,2.761996
Point14,12.662765,4.991689,2.551994
Point15,13.005194,-1.12021,2.54309
Point16,12.597482,-7.264896,2.442835
Point17,12.197566,-13.364022,2.69149
Point18,12.218876,-19.321805,3.199689
Point19,11.478006,-25.386193,3.220725
Point20,11.144465,-31.4926,3.033152
Point21,11.752069,-37.563781,2.584842
Point22,11.688401,-43.69528,2.77365
Point23,11.471732,-49.653761,2.601299
Point24,12.029897,-55.691478,2.061661
Point25,9.625239,-61.846266,2.955471
Point26,7.173553,-61.419524,3.097431
Point27,4.681704,-61.247211,3.310814
Point28,2.219379,-61.212078,3.09792
Point29,-0.256207,-61.391763,3.396368
Point30,-5.296442,-60.58507,3.098376
Point31,-7.913847,-60.335695,3.319488
Point32,-10.543047,-60.138009,3.587299
Point33,-13.178959,-60.218148,3.653224
Point34,-15.735127,-59.602037,3.763039
Point35,-16.528852,-51.729661,3.339992
Point36,-15.359341,-46.136733,2.824236
Point37,-16.281143,-40.291602,3.148505
Point38,-16.674006,-34.341755,3.148502
Point39,-16.93409,-28.379885,2.977246
Point40,-17.64747,-22.415882,2.811829
Point41,-18.016926,-16.421244,2.497623
Point42,-18.611687,-10.496321,1.990376
Point43,-18.450591,-4.537007,1.468672
Point44,-18.537422,1.406513,0.987306
Point45,-18.576607,7.364772,0.862068
Point46,-17.569628,13.22651,0.635408
Point47,-16.960145,19.167327,0.389245
Point48,-15.46112,24.885258,0.336482
Point49,-14.190513,30.659934,0.981839
Point50,-12.394639,36.312059,0.798563
Point51,-10.797091,41.987383,1.351898
Point52,-9.306749,47.715128,1.614749
Point53,-7.114131,53.194548,1.47954
Point54,-5.356229,58.895589,1.832458
