Name,Position X,Position Y,Position Z
Point01,-0.251225,111.787097,0.200043
Point02,20.28924,-109.758924,-1.543892
Point03,-23.021325,-110.478528,-1.224711
Point04,-1.364982,-111.703775,-1.243643
Point05,5.786246,103.739358,1.209932
Point06,8.963505,93.439421,1.225038
Point07,11.467111,82.986601,1.561118
Point08,13.230217,72.415244,2.326096
Point09,15.006791,61.782548,2.31092
Point10,16.456346,51.06454,2.276922
Point11,16.963108,40.277298,2.060011
Point12,17.534562,29.48798,2.015931
Point13,17.622042,18.727208,1.835838
Point14,17.849563,7.946407,1.479879
Point15,18.30197,-2.801901,1.44784
Point16,18.549099,-13.515297,1.450933
Point17,18.585215,-24.19164,2.067711
Point18,18.995875,-34.927806,1.787902
Point19,19.403823,-45.71421,1.475737
Point20,19.478656,-56.42842,1.261365
Point21,19.458428,-67.166797,0.796885
Point22,19.223399,-77.929217,0.153887
Point23,19.097702,-88.603642,-0.423596
Point24,19.826021,-99.302943,-0.424593
Point25,16.87764,-110.657452,-1.697448
Point26,13.20451,-110.830126,-1.724203
Point27,9.537195,-110.770698,-1.631079
Point28,5.945239,-111.404388,-1.686107
Point29,2.292132,-111.379811,-1.314796
Point30,-5.011654,-111.459003,-1.092806
Point31,-8.64979,-111.546818,-1.355079
Point32,-12.30308,-111.712276,-1.329313
Point33,-15.96495,-111.480743,-1.463329
Point34,-19.601359,-111.513743,-1.263075
Point35,-23.518064,-99.793201,-0.918282
Point36,-23.000681,-88.997845,-0.914518
Point37,-22.977936,-78.10611,-0.764554
Point38,-22.968404,-67.24708,-0.770207
Point39,-23.072348,-56.391267,-0.657782
Point40,-22.126996,-45.552561,-1.099667
Point41,-22.690891,-34.736608,-1.115864
Point42,-22.60542,-23.91266,-1.465086
Point43,-22.52922,-13.113665,-1.362109
Point44,-22.620566,-2.277007,-1.511896
Point45,-22.384513,8.619706,-1.554461
Point46,-21.240377,19.397298,-1.684395
Point47,-20.59296,30.14425,-1.841223
Point48,-19.967502,40.941388,-1.430768
Point49,-18.73611,51.660645,-1.007614
Point50,-17.274808,62.435934,-0.934297
Point51,-15.906832,73.197202,-0.90455
Point52,-13.268859,83.63133,-0.890998
Point53,-10.466976,94.037059,-1.052399
Point54,-6.803093,104.171318,-0.361532
