Name,Position X,Position Y,Position Z
Point01,-3.447096,61.06779,-2.563037
Point02,15.874901,-53.957044,-5.936048
Point03,-12.849185,-54.989156,-7.365608
Point04,1.50929,-54.783388,-6.740236
Point05,0.084438,57.139149,-3.272651
Point06,2.261572,51.883542,-3.876807
Point07,3.711134,46.479693,-4.796806
Point08,5.346032,41.037005,-5.363143
Point09,6.919659,35.635141,-6.348056
Point10,7.811235,30.057141,-6.746405
Point11,9.028625,24.52578,-7.188609
Point12,9.647301,19.01175,-7.867492
Point13,10.586662,13.536913,-8.161793
Point14,11.031364,7.869976,-8.054351
Point15,11.518624,2.174559,-7.877614
Point16,11.56911,-3.500396,-8.221909
Point17,11.948103,-9.195563,-8.017237
Point18,12.198554,-14.816697,-7.9296
Point19,12.956409,-20.38329,-7.563346
Point20,13.139858,-25.995868,-7.363719
Point21,13.450575,-31.680523,-7.224425
Point22,14.057089,-37.305884,-6.643881
Point23,14.67433,-42.957528,-6.129337
Point24,15.909789,-48.439642,-6.195705
Point25,13.671069,-54.945556,-6.134146
Point26,11.204741,-54.826755,-5.82939
Point27,8.824584,-55.05061,-6.370258
Point28,6.355388,-54.699342,-6.270769
Point29,3.862359,-54.62351,-6.425699
Point30,-0.879941,-54.902037,-6.988775
Point31,-3.282515,-54.702177,-6.926906
Point32,-5.665916,-55.213077,-6.58897
Point33,-8.021027,-55.109153,-7.231053
Point34,-10.440396,-55.211331,-7.272322
Point35,-13.10335,-49.504804,-7.891069
Point36,-12.66291,-43.80902,-7.821967
Point37,-12.583278,-38.189825,-7.865231
Point38,-12.1717,-32.50241,-8.158314
Point39,-12.18079,-26.799615,-8.163155
Point40,-12.346481,-21.077831,-8.412959
Point41,-12.191304,-15.381998,-8.65352
Point42,-12.249598,-9.678673,-9.133025
Point43,-12.266884,-3.994029,-8.672664
Point44,-12.382251,1.727457,-8.699653
Point45,-12.971954,7.35591,-8.359264
Point46,-12.28568,12.922655,-8.826251
Point47,-11.735156,18.604975,-8.813303
Point48,-12.046273,24.108478,-8.11424
Point49,-11.641627,29.494039,-6.813283
Point50,-11.083732,35.066303,-6.453707
Point51,-10.595117,40.670246,-5.505566
Point52,-9.398711,46.165731,-4.393132
Point53,-8.241223,51.730708,-3.655995
Point54,-6.832644,57.234158,-2.964225
