Name,Position X,Position Y,Position Z
Point01,-2.335797,40.340589,1.526181
Point02,12.472856,-39.598277,0.857527
Point03,-8.505045,-40.219512,0.677739
Point04,1.983781,-38.552585,0.516065
Point05,1.248396,38.725926,0.536838
Point06,4.242476,36.038812,0.359523
Point07,6.250197,32.55581,0.594426
Point08,7.705273,28.751684,0.582659
Point09,8.952652,24.89095,0.701476
Point10,9.599728,21.007577,1.105923
Point11,9.729833,16.90754,1.142356
Point12,9.918079,12.879735,1.310701
Point13,10.275513,8.81792,1.401
Point14,10.099044,4.733964,1.450123
Point15,10.524551,0.696457,1.248832
Point16,11.009979,-3.273771,1.753253
Point17,11.888741,-7.247946,1.598819
Point18,12.179707,-11.319686,1.526665
Point19,12.589252,-15.384115,1.733556
Point20,13.026267,-19.4659,1.43018
Point21,13.378522,-23.584883,1.36379
Point22,13.523179,-27.696544,1.226065
Point23,13.518658,-31.793072,1.150068
Point24,13.635607,-35.850629,0.554258
Point25,10.798946,-39.43828,0.571202
Point26,9.047188,-39.099789,0.635318
Point27,7.274821,-38.931139,0.625932
Point28,5.510908,-38.665843,0.67652
Point29,3.729764,-38.637816,0.738731
Point30,0.196622,-38.851755,0.382356
Point31,-1.604891,-39.147905,0.493074
Point32,-3.330144,-39.298494,0.635942
Point33,-4.982794,-39.931569,0.568622
Point34,-6.770436,-40.060079,0.29898
Point35,-8.779827,-36.347999,0.17116
Point36,-8.927891,-32.398835,0.046954
Point37,-9.045632,-28.463633,-0.16722
Point38,-8.981161,-24.537171,-0.044136
Point39,-8.91133,-20.628793,0.128322
Point40,-8.984302,-16.629463,0.326762
Point41,-9.026608,-12.675709,0.632973
Point42,-8.7694,-8.716986,0.822238
Point43,-8.38867,-4.741393,0.9176
Point44,-8.035963,-0.787678,1.145747
Point45,-8.087774,3.154855,1.328334
Point46,-8.435422,7.049217,1.682427
Point47,-7.923792,10.917553,1.528504
Point48,-8.069234,14.876364,1.670976
Point49,-7.886616,18.890763,1.532772
Point50,-7.696221,22.836307,1.610907
Point51,-7.774412,26.756358,1.211647
Point52,-6.949577,30.497188,1.388307
Point53,-6.219011,34.24792,0.882997
Point54,-5.388028,38.079379,0.999198
