Name,Position X,Position Y,Position Z
Point01,-0.635381,42.145531,2.19485
Point02,11.836673,-37.283974,2.823466
Point03,-15.765132,-38.595923,3.06094
Point04,-1.962991,-37.217965,3.453027
Point05,1.50179,39.032406,2.479523
Point06,3.768032,35.827433,2.738392
Point07,5.140411,32.170188,2.899081
Point08,4.737792,28.30682,2.387625
Point09,5.613765,24.536462,2.576281
Point10,6.055599,20.616526,2.640519
Point11,6.890158,16.769329,2.723569
Point12,6.806523,13.054421,2.787276
Point13,7.849418,9.401382,2.776825
Point14,8.457148,5.522207,2.669958
Point15,8.617153,1.583384,2.751198
Point16,8.670167,-2.297431,2.719524
Point17,8.891819,-6.191432,2.892188
Point18,8.985625,-10.131136,3.20681
Point19,9.712585,-13.985936,3.246369
Point20,10.14486,-17.83242,3.214404
Point21,10.534597,-21.701236,2.753222
Point22,10.682046,-25.594682,3.010853
Point23,11.440196,-29.421999,3.245611
Point24,11.528134,-33.374134,3.132383
Point25,10.261937,-39.245136,3.370707
Point26,7.840927,-39.766368,3.128305
Point27,5.507702,-38.645473,3.143711
Point28,3.235055,-37.492854,3.22173
Point29,0.632451,-37.401394,3.296727
Point30,-4.368624,-37.240188,3.42514
Point31,-6.735609,-37.29759,3.352051
Point32,-9.061218,-37.853629,3.352528
Point33,-11.347231,-38.62455,3.328267
Point34,-13.638707,-39.399278,3.329966
Point35,-16.300291,-34.696901,3.083234
Point36,-16.393989,-30.732732,3.067341
Point37,-16.529558,-26.777042,3.087618
Point38,-16.271336,-22.877619,2.737733
Point39,-15.79733,-18.879769,2.660903
Point40,-15.914885,-14.856488,2.437724
Point41,-15.92817,-10.856366,2.278409
Point42,-15.73124,-6.89008,2.387191
Point43,-14.694766,-3.075202,2.095481
Point44,-13.897803,0.720747,2.332806
Point45,-13.286027,4.708258,2.399305
Point46,-12.685131,8.713044,2.16756
Point47,-12.079233,12.728253,2.1917
Point48,-11.465252,16.682881,2.156124
Point49,-10.237505,20.466668,1.829387
Point50,-9.157534,24.36347,1.689504
Point51,-8.275725,28.304657,1.870604
Point52,-7.328519,32.252708,1.846392
Point53,-5.544003,35.856187,1.772599
Point54,-3.416247,39.293864,1.881101
