specimen,Type,trinomial,sitename,region
3Bb1,Gahagan,16CD12,Mounds Plantation,SCA
3Ba90,Gahagan,16CD12,Mounds Plantation,SCA
3Bb3,Gahagan,16CD12,Mounds Plantation,SCA
3Bb4,Gahagan,16CD12,Mounds Plantation,SCA
3Bb5,Gahagan,16CD12,Mounds Plantation,SCA
3Bb6,Gahagan,16CD12,Mounds Plantation,SCA
3Bb7,Gahagan,16CD12,Mounds Plantation,SCA
3Bb8,Gahagan,16CD12,Mounds Plantation,SCA
BlkThn,Gahagan,16CD12,Mounds Plantation,SCA
LGGray,Gahagan,16CD12,Mounds Plantation,SCA
Case2LG,Gahagan,16CD12,Mounds Plantation,SCA
Case2SM,Gahagan,16CD12,Mounds Plantation,SCA
666,Gahagan,16RR1,Gahagan Mound,SCA
551,Gahagan,16RR1,Gahagan Mound,SCA
622,Gahagan,16RR1,Gahagan Mound,SCA
614,Gahagan,16RR1,Gahagan Mound,SCA
613,Gahagan,16RR1,Gahagan Mound,SCA
612,Gahagan,16RR1,Gahagan Mound,SCA
611,Gahagan,16RR1,Gahagan Mound,SCA
610,Gahagan,16RR1,Gahagan Mound,SCA
609,Gahagan,16RR1,Gahagan Mound,SCA
608,Gahagan,16RR1,Gahagan Mound,SCA
607,Gahagan,16RR1,Gahagan Mound,SCA
606,Gahagan,16RR1,Gahagan Mound,SCA
605,Gahagan,16RR1,Gahagan Mound,SCA
593,Gahagan,16RR1,Gahagan Mound,SCA
569,Gahagan,16RR1,Gahagan Mound,SCA
550,Gahagan,16RR1,Gahagan Mound,SCA
549,Gahagan,16RR1,Gahagan Mound,SCA
548,Gahagan,16RR1,Gahagan Mound,SCA
547,Gahagan,16RR1,Gahagan Mound,SCA
546,Gahagan,16RR1,Gahagan Mound,SCA
545,Gahagan,16RR1,Gahagan Mound,SCA
544,Gahagan,16RR1,Gahagan Mound,SCA
543,Gahagan,16RR1,Gahagan Mound,SCA
542,Gahagan,16RR1,Gahagan Mound,SCA
541,Gahagan,16RR1,Gahagan Mound,SCA
533,Gahagan,16RR1,Gahagan Mound,SCA
532,Gahagan,16RR1,Gahagan Mound,SCA
490,Gahagan,16RR1,Gahagan Mound,SCA
489,Gahagan,16RR1,Gahagan Mound,SCA
4078-9,Gahagan,41CE19,George C Davis,SCA
424-39,Gahagan,41CE19,George C Davis,SCA
424-40,Gahagan,41CE19,George C Davis,SCA
424-41,Gahagan,41CE19,George C Davis,SCA
424-50,Gahagan,41CE19,George C Davis,SCA
424-53,Gahagan,41CE19,George C Davis,SCA
463-16,Gahagan,41CE19,George C Davis,SCA
4078-22,Gahagan,41CE19,George C Davis,SCA
4078-32,Gahagan,41CE19,George C Davis,SCA
4078-45,Gahagan,41CE19,George C Davis,SCA
4078-72,Gahagan,41CE19,George C Davis,SCA
424-169,Gahagan,41CE19,George C Davis,SCA
424-218,Gahagan,41CE19,George C Davis,SCA
424-221,Gahagan,41CE19,George C Davis,SCA
424-230,Gahagan,41CE19,George C Davis,SCA
424-33,Gahagan,41CE19,George C Davis,SCA
463-1,Gahagan,41CE19,George C Davis,SCA
463-23,Gahagan,41CE19,George C Davis,SCA
4078-8,Gahagan,41CE19,George C Davis,SCA
4078-11,Gahagan,41CE19,George C Davis,SCA
4078-12,Gahagan,41CE19,George C Davis,SCA
4078-13,Gahagan,41CE19,George C Davis,SCA
4078-14,Gahagan,41CE19,George C Davis,SCA
4078-14B,Gahagan,41CE19,George C Davis,SCA
4078-30,Gahagan,41CE19,George C Davis,SCA
ET221-993,Gahagan,41CE19,George C Davis,SCA
ET221-1016,Gahagan,41CE19,George C Davis,SCA
ET221-1260A,Gahagan,41CE19,George C Davis,SCA
D11,Gahagan,LA,Pelican,SCA
DM1,Gahagan,LA,Doc Marks,SCA
2300,Gahagan,bvmnh,Doerge Collection,CTX
2302,Gahagan,bvmnh,Doerge Collection,CTX
2303,Gahagan,bvmnh,Doerge Collection,CTX
2304,Gahagan,bvmnh,Doerge Collection,CTX
2305,Gahagan,bvmnh,Doerge Collection,CTX
2317,Gahagan,bvmnh,Doerge Collection,CTX
2318,Gahagan,bvmnh,Doerge Collection,CTX
2319,Gahagan,bvmnh,Doerge Collection,CTX
2320,Gahagan,bvmnh,Doerge Collection,CTX
2322,Gahagan,bvmnh,Doerge Collection,CTX
2323,Gahagan,bvmnh,Doerge Collection,CTX
2324,Gahagan,bvmnh,Doerge Collection,CTX
2325,Gahagan,bvmnh,Doerge Collection,CTX
2361,Gahagan,bvmnh,Doerge Collection,CTX
2362,Gahagan,bvmnh,Doerge Collection,CTX
2363,Gahagan,bvmnh,Doerge Collection,CTX
2364,Gahagan,bvmnh,Doerge Collection,CTX
2365,Gahagan,bvmnh,Doerge Collection,CTX
2366,Gahagan,bvmnh,Doerge Collection,CTX
2419,Gahagan,bvmnh,Doerge Collection,CTX
2426,Gahagan,bvmnh,Doerge Collection,CTX
bsp,Gahagan,41BP882,Bastrop SP,CTX
unk1,Gahagan,bvmnh,bvmnh,CTX
unk2,Gahagan,bvmnh,bvmnh,CTX
unk3,Gahagan,bvmnh,bvmnh,CTX
unk4,Gahagan,bvmnh,bvmnh,CTX
unk5,Gahagan,bvmnh,bvmnh,CTX
unk6,Gahagan,bvmnh,bvmnh,CTX
unk7,Gahagan,bvmnh,bvmnh,CTX
unk8,Gahagan,bvmnh,bvmnh,CTX
Lf50-3,Gahagan,LF50,Spiro,SCA
